drug,trials
Placebo,1723
Metformin,465
placebo,296
Sitagliptin,193
Dapagliflozin,143
Insulin,142
insulin aspart,130
insulin detemir,121
metformin,117
Pioglitazone,112
Liraglutide,105
liraglutide,103
Semaglutide,100
insulin glargine,100
Control,99
Glimepiride,94
Insulin Glargine,89
Usual Care,86
insulin degludec,84
Exercise,80
Empagliflozin,77
Saxagliptin,71
Vildagliptin,70
biphasic insulin aspart 30,69
Insulin glargine,69
semaglutide,61
No intervention,58
Insulin Lispro,58
Dulaglutide,57
Exenatide,54
