competitor,trials
Placebo,6398
placebo,830
radiation therapy,302
Control,261
Metformin,257
Exercise,240
laboratory biomarker analysis,221
paclitaxel,216
carboplatin,214
Paclitaxel,208
cyclophosphamide,207
Trastuzumab,190
Docetaxel,187
Cyclophosphamide,187
No intervention,185
Usual Care,169
docetaxel,162
Carboplatin,160
Methotrexate,159
cisplatin,154
Midazolam,147
quality-of-life assessment,146
questionnaire administration,143
conventional surgery,134
MRI,134
Usual care,131
Aripiprazole,130
Risperidone,130
Olanzapine,126
Capecitabine,123
